"DATA_YEAR","ORI","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_TYPE_NAME","STATE_ABBR","STATE_NAME","DIVISION_NAME","COUNTY_NAME","REGION_NAME","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","OFFENSE_SUBCAT_ID","OFFENSE_NAME","OFFENSE_SUBCAT_NAME","ACTUAL_COUNT","UNFOUNDED_COUNT","CLEARED_COUNT","JUVENILE_CLEARED_COUNT","actual_count_dev","ACTUAL_COUNT_avg","state_rank","count_of_cases_per_group","count_of_cases_per_state","total_cases_per_state","offense_name_binary","log_actual_count","squared_JUVENILE_CLEARED_COUNT","log_JUVENILE_CLEARED_COUNT","sqrt_CLEARED_COUNT"
2013,"TN0320100","Morristown","","City","TN","Tennessee","East South Central","HAMBLEN, JEFFERSON","South","4","Cities from 25,000 thru 49,999","HTCSA","Human Trafficking","Commercial Sex Acts",64,0,64,0,0,64,111,282,117,13689,1,4.17438726989564,0,0,8
2013,"WA0173600","Federal Way","","City","WA","Washington","Pacific","KING","West","3","Cities from 50,000 thru 99,999","HTCSA","Human Trafficking","Commercial Sex Acts",64,0,64,0,0,64,88,370,90,8100,1,4.17438726989564,0,0,8
2013,"TNMPD0000","Memphis","","City","TN","Tennessee","East South Central","SHELBY","South","1B","Cities from 500,000 thru 999,999","HTCSA","Human Trafficking","Commercial Sex Acts",192,0,128,0,0,192,60,141,117,13689,1,5.26269018890489,0,0,11.3137084989848
2013,"MO0950000","St. Louis County Police Department","","County","MO","Missouri","West North Central","ST LOUIS","Midwest","9A","MSA counties 100,000 or over","HTCSA","Human Trafficking","Commercial Sex Acts",384,0,384,0,0,384,8,312,86,7396,1,5.95324333428778,0,0,19.5959179422654
2013,"OH0020000","Allen","","County","OH","Ohio","East North Central","ALLEN","Midwest","9C","MSA counties from 10,000 thru 24,999","HTCSA","Human Trafficking","Commercial Sex Acts",64,0,64,0,0,64,32,50,36,2592,1,4.17438726989564,0,0,8
2013,"OH0020000","Allen","","County","OH","Ohio","East North Central","ALLEN","Midwest","9C","MSA counties from 10,000 thru 24,999","HTIS","Human Trafficking","Involuntary Servitude",64,0,0,0,0,64,32,50,36,2592,0,4.17438726989564,0,0,0
2014,"ILCPD0000","Chicago","","City","IL","Illinois","East North Central","COOK","Midwest","1A","Cities 1,000,000 or over","HTCSA","Human Trafficking","Commercial Sex Acts",896,0,0,0,288,608,11.5,77,100,10000,1,6.7990558620588,0,0,0
2014,"ILCPD0000","Chicago","","City","IL","Illinois","East North Central","COOK","Midwest","1A","Cities 1,000,000 or over","HTIS","Human Trafficking","Involuntary Servitude",128,0,0,0,-480,608,11.5,77,100,10000,0,4.85981240436167,0,0,0
2014,"TXDPD0000","Dallas","","City","TX","Texas","West South Central","COLLIN, DALLAS, DENTON","South","1A","Cities 1,000,000 or over","HTCSA","Human Trafficking","Commercial Sex Acts",1792,0,384,128,1184,608,72.5,77,478,228484,1,7.49164547360513,16384,4.85981240436167,19.5959179422654
2014,"TXDPD0000","Dallas","","City","TX","Texas","West South Central","COLLIN, DALLAS, DENTON","South","1A","Cities 1,000,000 or over","HTIS","Human Trafficking","Involuntary Servitude",384,0,128,128,-224,608,72.5,77,478,228484,0,5.95324333428778,16384,4.85981240436167,11.3137084989848
2014,"TXHPD0000","Houston","","City","TX","Texas","West South Central","FORT BEND, HARRIS, MONTGOMERY","South","1A","Cities 1,000,000 or over","HTCSA","Human Trafficking","Commercial Sex Acts",128,0,0,0,-480,608,72.5,77,478,228484,1,4.85981240436167,0,0,0
2014,"TXHPD0000","Houston","","City","TX","Texas","West South Central","FORT BEND, HARRIS, MONTGOMERY","South","1A","Cities 1,000,000 or over","HTIS","Human Trafficking","Involuntary Servitude",384,0,128,0,-224,608,72.5,77,478,228484,0,5.95324333428778,0,0,11.3137084989848
2014,"TXSPD0000","San Antonio","","City","TX","Texas","West South Central","BEXAR, MEDINA","South","1A","Cities 1,000,000 or over","HTCSA","Human Trafficking","Commercial Sex Acts",1024,256,384,64,416,608,72.5,77,478,228484,1,6.93244789157251,4096,4.17438726989564,19.5959179422654
2014,"TXSPD0000","San Antonio","","City","TX","Texas","West South Central","BEXAR, MEDINA","South","1A","Cities 1,000,000 or over","HTIS","Human Trafficking","Involuntary Servitude",128,0,0,0,-480,608,72.5,77,478,228484,0,4.85981240436167,0,0,0
2014,"IL0160100","Alsip","","City","IL","Illinois","East North Central","COOK","Midwest","5","Cities from 10,000 thru 24,999","HTCSA","Human Trafficking","Commercial Sex Acts",64,0,0,0,-15.125,79.125,79.5,319,100,10000,1,4.17438726989564,0,0,0
2014,"IL0222700","Darien","","City","IL","Illinois","East North Central","DUPAGE","Midwest","5","Cities from 10,000 thru 24,999","HTIS","Human Trafficking","Involuntary Servitude",104,0,0,0,24.875,79.125,79.5,319,100,10000,0,4.65396035015752,0,0,0
2014,"IL0822400","Fairview Heights","","City","IL","Illinois","East North Central","ST CLAIR","Midwest","5","Cities from 10,000 thru 24,999","HTCSA","Human Trafficking","Commercial Sex Acts",53,0,0,0,-26.125,79.125,79.5,319,100,10000,1,3.98898404656427,0,0,0
